Time,R Scale 1,R Scale 2,G Speed,SV,Longitude,Latitude,raw1,raw2,raw3,raw4
14:09:12.807,78,51,0,10,120.6863098,24.3187160,3094392,0,1171096,0
14:09:12.907,77,51,0,10,120.6863098,24.3187160,3081897,0,1167971,0
14:09:13.009,78,51,0,9,120.6863098,24.3187160,3094381,0,1165876,0
14:09:13.109,78,51,0,10,120.6863098,24.3187160,3094469,0,1165848,0
14:09:13.210,78,51,0,10,120.6863098,24.3187160,3093031,0,1165127,0
14:09:13.363,77,51,0,10,120.6863098,24.3187160,3079267,0,1165089,0
14:09:13.412,77,51,0,10,120.6863098,24.3187160,3079267,0,1165089,0
14:09:13.550,77,50,0,10,120.6863098,24.3187160,3080653,0,1164223,0
14:09:13.615,78,50,0,10,120.6863098,24.3187160,3087468,0,1162985,0
14:09:13.706,77,50,0,10,120.6863098,24.3187160,3081625,0,1161888,0
14:09:13.807,77,50,0,9,120.6863098,24.3187160,3081625,0,1161888,0
14:09:13.906,77,50,0,9,120.6863098,24.3187160,3082711,0,1159087,0
14:09:14.012,77,50,0,10,120.6863098,24.3187160,3082711,0,1159087,0
14:09:14.110,78,50,0,10,120.6863098,24.3187160,3092766,0,1158638,0
14:09:14.203,78,50,0,9,120.6863098,24.3187160,3091156,0,1158480,0
14:09:14.302,78,50,0,9,120.6863098,24.3187160,3087913,0,1158454,0
14:09:14.406,78,50,0,10,120.6863098,24.3187160,3094122,0,1158820,0
14:09:14.504,78,50,0,10,120.6863098,24.3187160,3085004,0,1158807,0
14:09:14.608,78,50,0,10,120.6863098,24.3187160,3085004,0,1158807,0
14:09:14.707,78,50,0,10,120.6863098,24.3187160,3091058,0,1158768,0
14:09:14.808,78,50,0,10,120.6863098,24.3187160,3091058,0,1158768,0
14:09:14.906,77,50,0,10,120.6863098,24.3187160,3082615,0,1158834,0
14:09:15.009,78,50,0,10,120.6862946,24.3187160,3092724,0,1159070,0
14:09:15.125,78,50,0,10,120.6862946,24.3187160,3087469,0,1159110,0
14:09:15.214,77,50,0,10,120.6862946,24.3187160,3070217,0,1158111,0
14:09:15.380,78,50,0,10,120.6862946,24.3187160,3085842,0,1157142,0
14:09:15.414,78,50,0,10,120.6862946,24.3187160,3085842,0,1157142,0
14:09:15.564,78,50,0,10,120.6862946,24.3187160,3085027,0,1157065,0
14:09:15.613,77,50,0,10,120.6862946,24.3187160,3082438,0,1155703,0
14:09:15.713,78,50,0,10,120.6862946,24.3187160,3091362,0,1152992,0
14:09:15.803,78,50,0,10,120.6862946,24.3187160,3085546,0,1152935,0
14:09:15.903,78,50,0,10,120.6862946,24.3187160,3086475,0,1152824,0
14:09:16.014,77,50,0,10,120.6862946,24.3187160,3058689,0,1152427,0
14:09:16.151,78,50,0,10,120.6862946,24.3187160,3085807,0,1152871,0
14:09:16.202,78,50,0,10,120.6862946,24.3187160,3085807,0,1152871,0
14:09:16.369,77,50,0,10,120.6862946,24.3187160,3079292,0,1152015,0
14:09:16.403,77,50,0,10,120.6862946,24.3187160,3079292,0,1152015,0
14:09:16.500,78,50,0,10,120.6862946,24.3187160,3092080,0,1152872,0
14:09:16.601,78,50,0,10,120.6862946,24.3187160,3085730,0,1153261,0
14:09:16.770,78,50,0,10,120.6862946,24.3187160,3091193,0,1152509,0
14:09:16.804,78,50,0,10,120.6862946,24.3187160,3094292,0,1152725,0
14:09:16.902,78,50,0,10,120.6862946,24.3187160,3091330,0,1152075,0
14:09:17.000,78,50,0,10,120.6862946,24.3187160,3091330,0,1152075,0
14:09:17.171,78,50,0,10,120.6862946,24.3187160,3088287,0,1151301,0
14:09:17.205,78,50,0,10,120.6862946,24.3187160,3088287,0,1151301,0
14:09:17.304,77,50,0,10,120.6862946,24.3187160,3083407,0,1151736,0
14:09:17.403,77,50,0,10,120.6862946,24.3187160,3084484,0,1151541,0
14:09:17.503,78,50,0,10,120.6862946,24.3187160,3084870,0,1152223,0
14:09:17.608,78,50,0,10,120.6862946,24.3187180,3084870,0,1152223,0
14:09:17.714,78,50,0,10,120.6862946,24.3187180,3089108,0,1151372,0
14:09:17.806,78,50,0,10,120.6862946,24.3187180,3089108,0,1151372,0
14:09:17.906,78,50,0,10,120.6862946,24.3187180,3090305,0,1151477,0
14:09:18.008,78,50,0,10,120.6862946,24.3187180,3088326,0,1151751,0
14:09:18.167,78,50,0,10,120.6862946,24.3187180,3093953,0,1151498,0
14:09:18.217,78,50,0,10,120.6862946,24.3187180,3089315,0,1152068,0
14:09:18.350,78,50,0,10,120.6862946,24.3187180,3085194,0,1151795,0
14:09:18.415,78,50,0,10,120.6862946,24.3187180,3091817,0,1151810,0
14:09:18.548,78,50,0,10,120.6862946,24.3187180,3091568,0,1152063,0
14:09:18.614,78,50,0,10,120.6862946,24.3187180,3091568,0,1152063,0
14:09:18.741,78,50,0,10,120.6862946,24.3187180,3085230,0,1150954,0
14:09:18.807,78,50,0,10,120.6862946,24.3187180,3089607,0,1151859,0
14:09:18.905,77,50,0,10,120.6862946,24.3187180,3084177,0,1151012,0
14:09:19.006,77,50,0,10,120.6862946,24.3187180,3084300,0,1152065,0
14:09:19.103,78,50,0,10,120.6862946,24.3187180,3090749,0,1153320,0
14:09:19.209,77,50,0,10,120.6862946,24.3187180,3074763,0,1146179,0
14:09:19.360,78,50,0,10,120.6862946,24.3187180,3093262,0,1143033,0
14:09:19.411,78,50,0,10,120.6862946,24.3187180,3087472,0,1142816,0
14:09:19.540,77,50,0,10,120.6862946,24.3187180,3084656,0,1163520,0
14:09:19.607,77,50,0,10,120.6862946,24.3187180,3084656,0,1163520,0
14:09:19.771,78,59,0,11,120.6862946,24.3187180,3086339,0,1351763,0
14:09:19.805,78,59,0,11,120.6862946,24.3187180,3086339,0,1351763,0
14:09:19.903,77,56,0,11,120.6862946,24.3187180,3072370,0,1279447,0
14:09:20.006,78,47,0,10,120.6862946,24.3187180,3088147,0,1092912,0
